cluster,group,n_users,outcome_rate,disparity_ratio,cluster_overall_rate
0,FEMALE,2279,0.5212812637121544,1.048998098581249,0.5360178970917227
0,MALE,1504,0.5585106382978723,1.1239164696611503,0.5360178970917227
0,Other,157,0.554140127388535,1.1151214909176692,0.5360178970917227
0,Unknown,530,0.530188679245283,1.0669228977405079,0.5360178970917227
1,FEMALE,499,0.4529058116232465,0.9114030530196194,0.44339622641509435
1,MALE,315,0.4603174603174603,0.926317852243778,0.44339622641509435
1,Other,37,0.43243243243243246,0.8702035368702036,0.44339622641509435
1,Unknown,103,0.34951456310679613,0.703344120819849,0.44339622641509435
2,FEMALE,321,0.4984423676012461,1.0030383446790507,0.48599670510708404
2,MALE,203,0.4729064039408867,0.9516511585477102,0.48599670510708404
2,Other,26,0.5,1.0061728395061729,0.48599670510708404
2,Unknown,57,0.45614035087719296,0.9179120641108944,0.48599670510708404
3,FEMALE,777,0.42985842985842987,0.8650237539126427,0.4171779141104294
3,MALE,500,0.414,0.833111111111111,0.4171779141104294
3,Other,52,0.5,1.0061728395061729,0.4171779141104294
3,Unknown,138,0.32608695652173914,0.6561996779388084,0.4171779141104294
