cluster_spectral_eucl,gender,n_rows,n_unique_users,dropout_point_rate,cluster_rate,rate_gap_vs_cluster,disparity_ratio_vs_cluster,support_note
0,FEMALE,2279,1558,0.5212812637121544,0.5360178970917227,-0.01473663337956821,0.9725071989955468,
0,MALE,1504,979,0.5585106382978723,0.5360178970917227,0.022492741206149636,1.0419626682769152,
0,Other,157,113,0.554140127388535,0.5360178970917227,0.01812223029681237,1.0338090022649213,
0,Unknown,530,331,0.530188679245283,0.5360178970917227,-0.005829217846439638,0.9891249566888208,
1,FEMALE,499,447,0.4529058116232465,0.44339622641509435,0.00950958520815215,1.0214471496183857,
1,MALE,315,278,0.4603174603174603,0.44339622641509435,0.01692123390236594,1.0381627828436337,
1,Other,37,34,0.43243243243243246,0.44339622641509435,-0.010963793982661896,0.9752731454859115,
1,Unknown,103,82,0.34951456310679613,0.44339622641509435,-0.09388166330829822,0.7882668870068168,
2,FEMALE,321,312,0.4984423676012461,0.48599670510708404,0.012445662494162069,1.0256085326574793,
2,MALE,203,198,0.4729064039408867,0.48599670510708404,-0.01309030116619736,0.9730650413292142,
2,Unknown,57,55,0.45614035087719296,0.48599670510708404,-0.02985635422989108,0.9385667558727326,
3,FEMALE,777,650,0.42985842985842987,0.4171779141104294,0.012680515748000443,1.0303959421606481,
3,MALE,500,393,0.414,0.4171779141104294,-0.0031779141104294473,0.9923823529411765,
3,Other,52,43,0.5,0.4171779141104294,0.08282208588957057,1.1985294117647058,
3,Unknown,138,111,0.32608695652173914,0.4171779141104294,-0.09109095758869029,0.7816496163682864,
