spectral_eucl,education_level,n_rows,n_unique_users,dropout_point_rate,cluster_rate,rate_gap_vs_cluster,disparity_ratio_vs_cluster,support_note
0,Lower secondary,459,444,0.4749455337690632,0.4806451612903226,-0.005699627521259409,0.9881417145530844,
0,Unknown,86,82,0.5116279069767442,0.4806451612903226,0.03098274568642162,1.064460746058998,
0,Upper secondary,69,68,0.5072463768115942,0.4806451612903226,0.02660121552127165,1.0553448108160686,
1,Lower secondary,3100,2093,0.515483870967742,0.5242310245629564,-0.008747153595214496,0.9833143152820708,
1,Other,38,32,0.5526315789473685,0.5242310245629564,0.028400554384412025,1.0541756459532114,
1,Unknown,671,434,0.503725782414307,0.5242310245629564,-0.02050524214864946,0.960885103727418,
1,Upper secondary,710,438,0.5802816901408451,0.5242310245629564,0.056050665577888625,1.1069197795468462,
2,Lower secondary,1013,862,0.43336623889437315,0.42681159420289855,0.006554644691474598,1.0153572320445414,
2,Unknown,186,148,0.3064516129032258,0.42681159420289855,-0.12035998129967274,0.7180020811654527,
2,Upper secondary,176,150,0.5056818181818182,0.42681159420289855,0.07887022397891968,1.1847893193394043,
3,Lower secondary,768,667,0.4440104166666667,0.4454638124362895,-0.001453395769622834,0.9967373426773455,
3,Unknown,131,119,0.42748091603053434,0.4454638124362895,-0.017982896405755178,0.9596310723706045,
3,Upper secondary,78,70,0.5,0.4454638124362895,0.05453618756371048,1.1224256292906178,
