spectral_eucl,gender,n_rows,n_unique_users,dropout_point_rate,cluster_rate,rate_gap_vs_cluster,disparity_ratio_vs_cluster,support_note
0,FEMALE,336,328,0.48214285714285715,0.4806451612903226,0.001497695852534564,1.0031160115052733,
0,MALE,205,197,0.4926829268292683,0.4806451612903226,0.0120377655389457,1.0250450155508266,
0,Unknown,61,57,0.47540983606557374,0.4806451612903226,-0.0052353252247488435,0.98910771261965,
1,FEMALE,2356,1595,0.5076400679117148,0.5242310245629564,-0.016590956651241662,0.9683518222427349,
1,MALE,1467,971,0.5398773006134969,0.5242310245629564,0.015646276050540475,1.029846146674712,
1,Other,164,102,0.6341463414634146,0.5242310245629564,0.1099153169004582,1.2096696146362054,
1,Unknown,532,329,0.5206766917293233,0.5242310245629564,-0.003554332833633156,0.9932199113232637,
2,FEMALE,723,620,0.44398340248962653,0.42681159420289855,0.017171808286727985,1.040232759653115,
2,MALE,449,384,0.44543429844098,0.42681159420289855,0.018622704238081433,1.0436321423574744,
2,Other,53,43,0.49056603773584906,0.42681159420289855,0.06375444353295051,1.1493737386680334,
2,Unknown,155,118,0.2709677419354839,0.42681159420289855,-0.15584385226741465,0.6348649980831371,
3,FEMALE,536,468,0.44776119402985076,0.4454638124362895,0.002297381593561243,1.0051572799617474,
3,MALE,310,270,0.45806451612903226,0.4454638124362895,0.012600703692742743,1.0282867055436629,
3,Other,33,29,0.45454545454545453,0.4454638124362895,0.009081642109165011,1.0203869357187434,low unique-user support
3,Unknown,102,93,0.39215686274509803,0.4454638124362895,-0.053306949691191485,0.8803338268946022,
