method,cluster,n_sequences,n_users,dropout_point_rate,share_sequences
spectral_agg,0,7489,4397,0.4927226599011884,0.9985333333333334
spectral_agg,1,3,3,0.3333333333333333,0.0004
spectral_agg,2,2,2,1.0,0.0002666666666666667
spectral_agg,3,6,6,0.0,0.0008
spectral_eucl,0,620,600,0.4806451612903226,0.08266666666666667
spectral_eucl,1,4519,2997,0.5242310245629564,0.6025333333333334
spectral_eucl,2,1380,1165,0.42681159420289855,0.184
spectral_eucl,3,981,860,0.4454638124362895,0.1308
kmeans_flat,0,6421,3887,0.5112910761563619,0.8561333333333333
kmeans_flat,1,548,518,0.458029197080292,0.07306666666666667
kmeans_flat,2,461,399,0.2841648590021692,0.06146666666666667
kmeans_flat,3,70,66,0.4,0.009333333333333334
kmeans_eucl,0,4531,2984,0.5257117634076363,0.6041333333333333
kmeans_eucl,1,1036,899,0.41023166023166024,0.13813333333333333
kmeans_eucl,2,598,578,0.48494983277591974,0.07973333333333334
kmeans_eucl,3,1335,1137,0.44644194756554306,0.178
