epoch,train_loss,val_f1,val_threshold
1,0.45126552648233476,0.7973415959405451,0.1326530612244898
2,0.42522457482159665,0.8063007515298168,0.4102040816326531
3,0.41585649781786377,0.8115816373094825,0.3448979591836735
4,0.40820808860333413,0.8128032892692372,0.37755102040816324
5,0.4011888407737397,0.8150297545861408,0.36122448979591837
6,0.39464310071614034,0.8188911902124175,0.42653061224489797
7,0.38898459368122534,0.8275361266429453,0.42653061224489797
8,0.3844635707530333,0.8250554702167605,0.4591836734693878
9,0.37944923901439337,0.821132148098251,0.3938775510204082
10,0.3743202724563678,0.821897024275646,0.3938775510204082
11,0.37062749607882534,0.8246510377197057,0.36122448979591837
12,0.36520004274531176,0.8243713446684598,0.3938775510204082
